Brown Stained Glass,mcl_core:glass_brown
Preview Banner,mcl_banners:banner_preview_triangle_top_green
nil,mcl_fences:bamboo_fence_gate_open
Burning Furnace,mcl_furnaces:furnace_active
Dispenser,mcl_dispensers:dispenser
Bamboo Fence,mcl_fences:bamboo_fence
Preview Banner,mcl_banners:banner_preview_diagonal_left_orange
Preview Banner,mcl_banners:banner_preview_triangles_bottom_green
Bamboo Wood,mcl_trees:bark_stripped_bamboo
Bamboo Log,mcl_trees:stripped_bamboo
Bamboo Bark,mcl_trees:bark_bamboo
Blackstone Wall,mcl_blackstone:wall_15
Bamboo Planks,mcl_trees:wood_bamboo
Preview Banner,mcl_banners:banner_preview_triangles_top_green
Bamboo Log,mcl_trees:tree_bamboo
Blackstone Wall,mcl_blackstone:wall_21
Scaffolding horizontal,mcl_bamboo:scaffolding_horizontal
Preview Banner,mcl_banners:banner_preview_triangles_top_black
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_6
Preview Banner,mcl_banners:banner_preview_globe_green
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_7
Preview Banner,mcl_banners:banner_preview_straight_cross_lime
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_8
Preview Banner,mcl_banners:banner_preview_bricks_grey
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_9
Preview Banner,mcl_banners:banner_preview_piglin_green
Cobbled Deepslate,mcl_deepslate:deepslate_cobbled
Bamboo Plant Flower Pot,mcl_flowerpots:flower_pot_bamboo
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_11
Preview Banner,mcl_banners:banner_preview_guster_black
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_12
Preview Banner,mcl_banners:banner_preview_guster_green
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_13
Infested Deepslate,mcl_monster_eggs:monster_egg_deepslate
Reinforced Deepslate,mcl_deepslate:deepslate_reinforced
Grey Banner,mcl_banners:banner_item_grey
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_15
Preview Banner,mcl_banners:banner_preview_flow_green
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_16
Preview Banner,mcl_banners:banner_preview_border_grey
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_21
Preview Banner,mcl_banners:banner_preview_cross_grey
Blackstone Wall,mcl_blackstone:wall
Blackstone Wall,mcl_blackstone:wall_16
Lit Deepslate Redstone Ore,mcl_deepslate:deepslate_with_redstone_lit
Deepslate Redstone Ore,mcl_deepslate:deepslate_with_redstone
Blackstone Wall,mcl_blackstone:wall_14
Blackstone Wall,mcl_blackstone:wall_13
Preview Banner,mcl_banners:banner_preview_border_black
Blackstone Wall,mcl_blackstone:wall_12
Blackstone Wall,mcl_blackstone:wall_11
Blackstone Wall,mcl_blackstone:wall_10
Tuff Bricks Stairs,mcl_stairs:stair_tuff_bricks
Blackstone Wall,mcl_blackstone:wall_9
Preview Banner,mcl_banners:banner_preview_bricks_black
Wind Charge,mcl_charges:wind_charge
Blackstone Wall,mcl_blackstone:wall_8
Blackstone Wall,mcl_blackstone:wall_7
nil,mcl_farming:pumpkintige_linked_l
Polished Deepslate,mcl_deepslate:deepslate_polished
Preview Banner,mcl_banners:banner_preview_circle_black
nil,mcl_totems:totem_wielded
Tuff Bricks Slab,mcl_stairs:slab_tuff_bricks_double
Blackstone Wall,mcl_blackstone:wall_5
Deepslate Bricks,mcl_deepslate:deepslate_bricks
Cracked Deepslate Bricks,mcl_deepslate:deepslate_bricks_cracked
Preview Banner,mcl_banners:banner_preview_creeper_black
Blackstone Wall,mcl_blackstone:wall_4
Blackstone Wall,mcl_blackstone:wall_3
nil,mcl_farming:pumpkintige_linked_t
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_0
Preview Banner,mcl_banners:banner_preview_cross_black
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_1
Deepslate Tiles,mcl_deepslate:deepslate_tiles
Ice,mcl_core:ice
Soul Sand,mcl_nether:soul_sand
Mob Spawner,mcl_mobspawners:spawner
Barrier,mcl_core:barrier
Chorus Flower,mcl_end:chorus_flower
Dead Chorus Flower,mcl_end:chorus_flower_dead
End Rod,mcl_end:end_rod
Dragon Egg,mcl_end:dragon_egg
End Portal Frame with Eye of Ender,mcl_portals:end_portal_frame_eye
Chain,mcl_lanterns:chain
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_7
Blackstone Wall,mcl_blackstone:wall_1
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_8
Blackstone Wall,mcl_blackstone:wall_0
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_9
Grass Path,mcl_core:grass_path
Conduit,mcl_conduits:conduit
nil,mcl_blackstone:soul_torch_wall
Deepslate Coal Ore,mcl_deepslate:deepslate_with_coal
Soul Torch,mcl_blackstone:soul_torch
Side Hopper,mcl_hoppers:hopper_side
Preview Banner,mcl_banners:banner_preview_diagonal_right_black
Disabled Hopper,mcl_hoppers:hopper_disabled
Blackstone Brick Slab,mcl_stairs:slab_blackstone_brick_polished_double
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_14
Deepslate Iron Ore,mcl_deepslate:deepslate_with_iron
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_15
Preview Banner,mcl_banners:banner_preview_diagonal_left_black
Disabled Side Hopper,mcl_hoppers:hopper_side_disabled
Blackstone Brick Slab,mcl_stairs:slab_blackstone_brick_polished_top
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_21
Blackstone Brick Slab,mcl_stairs:slab_blackstone_brick_polished
Deepslate Gold Ore,mcl_deepslate:deepslate_with_gold
Preview Banner,mcl_banners:banner_preview_flower_black
Blackstone Brick Stairs,mcl_stairs:stair_blackstone_brick_polished_inner
Blackstone Brick Stairs,mcl_stairs:stair_blackstone_brick_polished_outer
Blackstone Brick Stairs,mcl_stairs:stair_blackstone_brick_polished
Polished Blackstone Slab,mcl_stairs:slab_blackstone_polished_double
Polished Blackstone Slab,mcl_stairs:slab_blackstone_polished_top
Preview Banner,mcl_banners:banner_preview_gradient_black
Minecart with Chest,mcl_minecarts:chest_minecart
Polished Blackstone Slab,mcl_stairs:slab_blackstone_polished
Baked Potato,mcl_farming:potato_item_baked
Yellow Shulker Box,mcl_chests:yellow_shulker_box_small
Stone Axe,mcl_tools:axe_stone
Preview Banner,mcl_banners:banner_preview_gradient_up_black
Preview Banner,mcl_banners:banner_preview_gradient_magenta
Blackstone Slab,mcl_stairs:slab_blackstone_top
Blackstone Slab,mcl_stairs:slab_blackstone
Blackstone Stairs,mcl_stairs:stair_blackstone_inner
Blackstone Stairs,mcl_stairs:stair_blackstone_outer
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_black
Blackstone Stairs,mcl_stairs:stair_blackstone
Redstone Lamp,mesecons_lightstone:lightstone_off
Soul Soil,mcl_blackstone:soul_soil
Azalea Plant Flower Pot,mcl_flowerpots:flower_pot_azalea
nil,mesecons_lightstone:lightstone_on
Preview Banner,mcl_banners:banner_preview_half_horizontal_black
Cracked Polished Blackstone Bricks,mcl_blackstone:blackstone_brick_polished_cracked
Polished Blackstone Bricks,mcl_blackstone:blackstone_brick_polished
Chiseled Polished Blackstone,mcl_blackstone:blackstone_chiseled_polished
Flowering Azalea Plant Flower Pot,mcl_flowerpots:flower_pot_azalea_flowering
Oxidized Cut Copper Stairs,mcl_stairs:stair_copper_oxidized_cut_outer
Smooth Basalt,mcl_blackstone:basalt_smooth
Basalt,mcl_blackstone:basalt
Golden Axe,mcl_tools:axe_gold
Nether Gold Ore,mcl_blackstone:nether_gold
Dark Oak Stairs,mcl_stairs:stair_dark_oak_outer
Blackstone,mcl_blackstone:blackstone
nil,mcl_fences:nether_brick_fence_gate_open
Powered Redstone Trail (11110011),mesecons:wire_11110011_on
Preview Banner,mcl_banners:banner_preview_small_stripes_light_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_6
Preview Banner,mcl_banners:banner_preview_guster_brown
Pink Petals,mcl_cherry_blossom:pink_petals
Cherry Chest Boat,mcl_boats:boat_cherry_blossom_chest
Preview Banner,mcl_banners:banner_preview_guster_pink
Lapis Lazuli Stairs,mcl_stairs:stair_lapisblock
Preview Banner,mcl_banners:banner_preview_stripe_middle_pink
Lapis Lazuli Stairs,mcl_stairs:stair_lapisblock_outer
Lapis Lazuli Stairs,mcl_stairs:stair_lapisblock_inner
nil,mesecons_button:button_cherry_blossom_on
Cherry Button,mesecons_button:button_cherry_blossom_off
Cherry Pressure Plate,mesecons_pressureplates:pressure_plate_cherry_blossom_off
nil,mesecons_pressureplates:pressure_plate_cherry_blossom_on
Cherry Sign,mcl_signs:wall_sign_cherry_blossom
Redstone Trail (11010100),mesecons:wire_11010100_off
Lapis Lazuli Slab,mcl_stairs:slab_lapisblock
Lapis Lazuli Slab,mcl_stairs:slab_lapisblock_top
Lapis Lazuli Slab,mcl_stairs:slab_lapisblock_double
Cherry Bark Slab,mcl_stairs:slab_cherry_blossom_bark_double
Cherry Bark Slab,mcl_stairs:slab_cherry_blossom_bark_top
Cherry Bark Slab,mcl_stairs:slab_cherry_blossom_bark
Polished Tuff Slab,mcl_stairs:slab_tuff_polished_double
Cherry Slab,mcl_stairs:slab_cherry_blossom_top
Cherry Slab,mcl_stairs:slab_cherry_blossom
Cherry Bark Stairs,mcl_stairs:stair_cherry_blossom_bark_inner
Cherry Bark Stairs,mcl_stairs:stair_cherry_blossom_bark_outer
Cherry Bark Stairs,mcl_stairs:stair_cherry_blossom_bark
Gold Stairs,mcl_stairs:stair_goldblock
Cherry Stairs,mcl_stairs:stair_cherry_blossom_inner
Gold Stairs,mcl_stairs:stair_goldblock_outer
Gold Stairs,mcl_stairs:stair_goldblock_inner
Cherry Stairs,mcl_stairs:stair_cherry_blossom_outer
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_14
nil,mcl_panes:pane_cyan
Brewing Stand,mcl_brewing:stand_010
Brewing Stand,mcl_brewing:stand_001
Brewing Stand,mcl_brewing:stand_110
Brewing Stand,mcl_brewing:stand_101
nil,mcl_core:snow_2
nil,mcl_core:snow_3
nil,mcl_core:snow_4
nil,mcl_core:snow_5
nil,mcl_core:snow_6
nil,mcl_core:snow_7
nil,mcl_core:snow_8
nil,mcl_torches:torch_wall
Mature Wheat Plant,mcl_farming:wheat
Premature Wheat Plant (Stage 2),mcl_farming:wheat_2
Premature Wheat Plant (Stage 3),mcl_farming:wheat_3
Premature Wheat Plant (Stage 4),mcl_farming:wheat_4
Premature Wheat Plant (Stage 5),mcl_farming:wheat_5
Preview Banner,mcl_banners:banner_preview_globe_black
Premature Wheat Plant (Stage 7),mcl_farming:wheat_7
Lime Terracotta,mcl_colorblocks:hardened_clay_lime
Tuff Bricks Stairs,mcl_stairs:stair_tuff_bricks_outer
Cherry Trapdoor,mcl_doors:trapdoor_cherry_blossom
Lime Concrete Powder,mcl_colorblocks:concrete_powder_lime
Preview Banner,mcl_banners:banner_preview_piglin_black
Lime Concrete,mcl_colorblocks:concrete_lime
Iron Slab,mcl_stairs:slab_ironblock
Iron Slab,mcl_stairs:slab_ironblock_top
Iron Slab,mcl_stairs:slab_ironblock_double
nil,mcl_doors:door_cherry_blossom_t_2
Honeycomb Block,mcl_honey:honeycomb_block
nil,mcl_doors:door_cherry_blossom_b_2
nil,mcl_doors:door_cherry_blossom_t_1
nil,mcl_doors:door_cherry_blossom_b_1
Honey Bottle,mcl_honey:honey_bottle
Cherry Door,mcl_doors:door_cherry_blossom
Preview Banner,mcl_banners:banner_preview_flow_black
Unknown Potion,mcl_potions:withering_plus_splash
Glass Bottle,mcl_potions:glass_bottle
Honey Block,mcl_honey:honey_block
A place to plant bush crops,mcl_villages:crop_bush_6
Spruce Bark Stairs,mcl_stairs:stair_spruce_bark
Cracked Stone Brick Stairs,mcl_stairs:stair_stonebrickcracked_inner
Spruce Bark Stairs,mcl_stairs:stair_spruce_bark_outer
Purple Terracotta,mcl_colorblocks:hardened_clay_purple
A place to plant tree crops,mcl_villages:crop_tree_7
A place to plant flower crops,mcl_villages:crop_flower_3
Purple Concrete Powder,mcl_colorblocks:concrete_powder_purple
Cracked Stone Brick Slab,mcl_stairs:slab_stonebrickcracked
Purple Concrete,mcl_colorblocks:concrete_purple
Sticky Piston,mesecons_pistons:piston_sticky_off
Piston,mesecons_pistons:piston_normal_off
Spruce Slab,mcl_stairs:slab_spruce
Spruce Slab,mcl_stairs:slab_spruce_top
Spruce Slab,mcl_stairs:slab_spruce_double
nil,mesecons_pistons:piston_down_normal_off
Cherry Leaves,mcl_trees:leaves_cherry_blossom
Cherry Sapling,mcl_trees:sapling_cherry_blossom
Cherry Wood,mcl_trees:bark_stripped_cherry_blossom
Preview Banner,mcl_banners:banner_preview_circle_grey
Cherry Log,mcl_trees:stripped_cherry_blossom
Cherry Bark,mcl_trees:bark_cherry_blossom
Cherry Planks,mcl_trees:wood_cherry_blossom
nil,mesecons_pressureplates:pressure_plate_mangrove_on
Compass,mcl_compass:16
Preview Banner,mcl_banners:banner_preview_creeper_grey
Slightly Damaged Anvil,mcl_anvils:anvil_damage_1
Spruce Bark Slab,mcl_stairs:slab_spruce_bark
Spruce Bark Slab,mcl_stairs:slab_spruce_bark_top
Spruce Bark Slab,mcl_stairs:slab_spruce_bark_double
Anvil,mcl_anvils:anvil
Cyan Concrete Powder,mcl_colorblocks:concrete_powder_cyan
A place to plant flower crops,mcl_villages:crop_flower_8
Cyan Concrete,mcl_colorblocks:concrete_cyan
A place to plant flower crops,mcl_villages:crop_flower_7
Red Mushroom Flower Pot,mcl_flowerpots:flower_pot_mushroom_red
A place to plant flower crops,mcl_villages:crop_flower_5
Preview Banner,mcl_banners:banner_preview_curly_border_grey
Brewing Stand,mcl_brewing:stand_111
Cherry Leaves,mcl_trees:leaves_cherry_blossom_orphan
A place to plant flower crops,mcl_villages:crop_flower_2
Spruce Sign,mcl_signs:wall_sign_spruce
Brown Concrete Slab,mcl_stairs:slab_concrete_brown_double
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_grey
Unknown Tipped Arrow,mcl_potions:fire_resistance_plus_arrow
Cherry Fence,mcl_fences:cherry_blossom_fence
Unknown Potion,mcl_potions:water_breathing_plus_lingering
A place to plant tree crops,mcl_villages:crop_tree_5
A place to plant tree crops,mcl_villages:crop_tree_4
Amethyst Shard,mcl_amethyst:amethyst_shard
A place to plant tree crops,mcl_villages:crop_tree_3
A place to plant tree crops,mcl_villages:crop_tree_2
Spruce Pressure Plate,mesecons_pressureplates:pressure_plate_spruce_off
Unknown Potion,mcl_potions:regeneration_plus_splash
nil,mesecons_pressureplates:pressure_plate_spruce_on
Preview Banner,mcl_banners:banner_preview_diagonal_right_grey
Unknown Tipped Arrow,mcl_potions:regeneration_plus_arrow
A place to plant bush crops,mcl_villages:crop_bush_7
Spruce Button,mesecons_button:button_spruce_off
Cherry Fence Gate,mcl_fences:cherry_blossom_fence_gate
nil,mcl_fences:cherry_blossom_fence_gate_open
Preview Banner,mcl_banners:banner_preview_diagonal_left_grey
nil,mesecons_button:button_spruce_on
End Stone,mcl_end:end_stone
Netherrack,mcl_nether:netherrack
White Terracotta,mcl_colorblocks:hardened_clay_white
Warped Nylium,mcl_crimson:warped_nylium
Spruce Sapling Flower Pot,mcl_flowerpots:flower_pot_sapling_spruce
White Concrete Powder,mcl_colorblocks:concrete_powder_white
Unknown Potion,mcl_potions:leaping_plus
White Concrete,mcl_colorblocks:concrete_white
Spruce Boat,mcl_boats:boat_spruce
A place to plant bush crops,mcl_villages:crop_bush_3
Stone Button,mesecons_button:button_stone_off
nil,mesecons_button:button_stone_on
A place to plant bush crops,mcl_villages:crop_bush_2
A place to plant bush crops,mcl_villages:crop_bush_1
A place to plant gourd crops,mcl_villages:crop_gourd_8
A place to plant gourd crops,mcl_villages:crop_gourd_7
Yellow Terracotta,mcl_colorblocks:hardened_clay_yellow
Yellow Concrete,mcl_colorblocks:concrete_yellow
Spruce Chest Boat,mcl_boats:boat_spruce_chest
A place to plant gourd crops,mcl_villages:crop_gourd_6
A place to plant gourd crops,mcl_villages:crop_gourd_5
Snowball,mcl_throwing:snowball
A place to plant gourd crops,mcl_villages:crop_gourd_4
Sculk Vein,mcl_sculk:vein
Spyglass,mcl_spyglass:spyglass,mesecons_delayer:delayer_off_locked
A place to plant gourd crops,mcl_villages:crop_gourd_3
A place to plant gourd crops,mcl_villages:crop_gourd_2
A place to plant gourd crops,mcl_villages:crop_gourd_1
Grey Terracotta,mcl_colorblocks:hardened_clay_grey
Redstone Trail (11110111),mesecons:wire_11110111_off
A place to plant root crops,mcl_villages:crop_root_8
Grey Concrete Powder,mcl_colorblocks:concrete_powder_grey
A place to plant root crops,mcl_villages:crop_root_7
Grey Concrete,mcl_colorblocks:concrete_grey
A place to plant root crops,mcl_villages:crop_root_6
Splash Water Bottle,mcl_potions:water_splash
nil,mcl_meshhand:mcl_skins_base_1EEB592FF_female_crea
Compass,mcl_compass:0
A place to plant root crops,mcl_villages:crop_root_2
Powered Redstone Trail (11111111),mesecons:wire_11111111_on
Redstone Trail (11111111),mesecons:wire_11111111_off
Acacia Log,mcl_trees:stripped_acacia
Lodestone,mcl_compass:lodestone
A place to plant grain crops,mcl_villages:crop_grain_8
A place to plant grain crops,mcl_villages:crop_grain_7
A place to plant grain crops,mcl_villages:crop_grain_6
Acacia Planks,mcl_trees:wood_acacia
A place to plant grain crops,mcl_villages:crop_grain_5
Preview Banner,mcl_banners:banner_preview_curly_border_green
Sweet Berry Bush (Stage 0),mcl_farming:sweet_berry_bush_0
A place to plant grain crops,mcl_villages:crop_grain_2
Acacia Wood,mcl_trees:bark_stripped_acacia
Acacia Bark,mcl_trees:bark_acacia
Recovery Compass,mcl_compass:30_recovery
Mark the node as a good place for paths to connect to,mcl_villages:path_endpoint
Pink Concrete Powder,mcl_colorblocks:concrete_powder_pink
nil,mcl_beacons:beacon_beam
Pink Concrete,mcl_colorblocks:concrete_pink
Prevent paths from being placed during villager generation. Replaced by air after village path generation,mcl_villages:no_paths
nil,mcl_villages:building_block
nil,mcl_mushrooms:red_mushroom_block_cap_000000
Preview Banner,mcl_banners:banner_preview_half_vertical_black
Andesite,mcl_core:andesite
Mature Cocoa Pod,mcl_cocoas:cocoa_3
Preview Banner,mcl_banners:banner_preview_stripe_downright_red
Cauldron (1/3 Water),mcl_cauldrons:cauldron_1
Cauldron (2/3 Water),mcl_cauldrons:cauldron_2
Cauldron (3/3 Water),mcl_cauldrons:cauldron_3
Cauldron (1/3 River Water),mcl_cauldrons:cauldron_1r
Cauldron (2/3 River Water),mcl_cauldrons:cauldron_2r
Cauldron (3/3 River Water),mcl_cauldrons:cauldron_3r
Medium Cocoa Pod,mcl_cocoas:cocoa_2
Farmland,mcl_farming:soil
Block of Raw Iron,mcl_raw_ores:raw_iron_block
Preview Banner,mcl_banners:banner_preview_border_green
Minecart with TNT,mcl_minecarts:tnt_minecart
Acacia Leaves,mcl_trees:leaves_acacia
Acacia Leaves,mcl_trees:leaves_acacia_orphan
Minecart with Hopper,mcl_minecarts:hopper_minecart
Magenta Concrete Powder,mcl_colorblocks:concrete_powder_magenta
Minecart with Command Block,mcl_minecarts:command_block_minecart
Magenta Concrete,mcl_colorblocks:concrete_magenta
Preview Banner,mcl_banners:banner_preview_stripe_right_red
Minecart with Furnace,mcl_minecarts:furnace_minecart
Acacia Fence,mcl_fences:acacia_fence
Preview Banner,mcl_banners:banner_preview_skull_black
nil,mcl_ocean:seagrass_redsand
nil,mcl_minecarts:detector_rail_on
Preview Banner,mcl_banners:banner_preview_stripe_top_red
Detector Rail,mcl_minecarts:detector_rail
Acacia Fence Gate,mcl_fences:acacia_fence_gate
nil,mcl_fences:acacia_fence_gate_open
nil,mcl_doors:door_crimson_t_1
Block of Raw Gold,mcl_raw_ores:raw_gold_block
Activator Rail,mcl_minecarts:activator_rail
nil,mcl_doors:door_crimson_b_2
Acacia Door,mcl_doors:door_acacia
Preview Banner,mcl_banners:banner_preview_square_bottom_left_black
nil,mcl_minecarts:golden_rail_on
Crimson Trapdoor,mcl_doors:trapdoor_crimson
Orange Terracotta,mcl_colorblocks:hardened_clay_orange
Powered Rail,mcl_minecarts:golden_rail
Birch Slab,mcl_stairs:slab_birch_top
Orange Concrete Powder,mcl_colorblocks:concrete_powder_orange
Burning Blast Furnace,mcl_blast_furnace:blast_furnace_active
Orange Concrete,mcl_colorblocks:concrete_orange
Blast Furnace,mcl_blast_furnace:blast_furnace
Small Amethyst Bud,mcl_amethyst:small_amethyst_bud
Cyan Terracotta Slab,mcl_stairs:slab_hardened_clay_cyan_top
nil,mcl_doors:door_acacia_b_1
Cyan Terracotta Slab,mcl_stairs:slab_hardened_clay_cyan
nil,mcl_doors:trapdoor_crimson_open
Waxed Weathered Cut Copper Slab,mcl_stairs:slab_copper_weathered_cut_preserved
Cyan Terracotta Stairs,mcl_stairs:stair_hardened_clay_cyan_outer
nil,mcl_doors:door_acacia_t_1
Preview Banner,mcl_banners:banner_preview_square_top_right_black
Crimson Stairs,mcl_stairs:stair_crimson
nil,mcl_doors:door_acacia_b_2
Crimson Stairs,mcl_stairs:stair_crimson_outer
Crimson Stairs,mcl_stairs:stair_crimson_inner
nil,mcl_doors:door_acacia_t_2
Preview Banner,mcl_banners:banner_preview_straight_cross_black
Acacia Trapdoor,mcl_doors:trapdoor_acacia
Cyan Terracotta Stairs,mcl_stairs:stair_hardened_clay_cyan
Blue Terracotta,mcl_colorblocks:hardened_clay_blue
Cut Copper Slab,mcl_stairs:slab_copper_cut
Crimson Bark Stairs,mcl_stairs:stair_crimson_bark
Blue Concrete Powder,mcl_colorblocks:concrete_powder_blue
Crimson Bark Stairs,mcl_stairs:stair_crimson_bark_outer
Blue Concrete,mcl_colorblocks:concrete_blue
Cyan Concrete Slab,mcl_stairs:slab_concrete_cyan_top
Cyan Concrete Slab,mcl_stairs:slab_concrete_cyan
Cyan Concrete Stairs,mcl_stairs:stair_concrete_cyan_inner
Preview Banner,mcl_banners:banner_preview_stripe_center_black
Birch Fence Gate,mcl_fences:birch_fence_gate
nil,mcl_fences:birch_fence_gate_open
Cyan Concrete Stairs,mcl_stairs:stair_concrete_cyan_outer
Crimson Slab,mcl_stairs:slab_crimson
